2025-03-23T23:47:58.944197+0700 | __main__ | INFO | Sentiment Forecasting Params- 
 Client: ferrero |
 Suffix: test |
 Output File Name: ferrero_predicted_test.feather |

2025-03-23T23:48:14.845865+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:14.902288+0700 | src.utilities.utils | INFO | Model failed with seasonal order 12: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:15.019997+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:15.235219+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:15.255721+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:15.561841+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:15.843887+0700 | src.utilities.utils | INFO | Model failed with seasonal order 12: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:15.870359+0700 | src.utilities.utils | INFO | Model failed with seasonal order 2: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:15.870466+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:15.931201+0700 | src.utilities.utils | INFO | Model failed with seasonal order 3: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:15.934516+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:15.954502+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:16.014838+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:16.471220+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:17.011986+0700 | __main__ | INFO | Running 4/12 → COLUMN=AVG Total RM, STORAGE_TYPE=Specific, OUTLIER=False
2025-03-23T23:48:17.174946+0700 | src.utilities.utils | INFO | Model failed with seasonal order 12: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:17.602496+0700 | src.utilities.utils | INFO | Model failed with seasonal order 12: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:17.694025+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:17.712892+0700 | src.utilities.utils | INFO | Model failed with seasonal order 2: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:17.712988+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:18.409264+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:18.435373+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:19.043844+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:19.408973+0700 | src.utilities.utils | INFO | Model failed with seasonal order 3: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:19.412167+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:19.904167+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:20.408125+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:20.430286+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:20.555393+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:21.090172+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:21.213273+0700 | src.utilities.utils | INFO | Model failed with seasonal order 6: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:21.229539+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:21.908825+0700 | src.utilities.utils | INFO | Model failed with seasonal order 3: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:21.912105+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
